param : enchainement : mot1 mot2 valeur :=
# numero_mot1 numero_mot2 valeur
0 0 0
0 1 0
0 2 0
0 3 0
0 4 0
0 5 0
0 6 0
0 7 0
0 8 0
0 9 0
0 10 0
0 11 0
0 12 0
0 13 0
0 14 0
0 15 0
0 16 0
0 17 0
0 18 0
0 19 0
0 20 0
0 21 0
0 22 0
0 23 0
0 24 0
0 25 0
0 26 0
0 27 0
0 28 0
0 29 0
0 30 0
0 31 0
0 32 0
0 33 0
0 34 0
0 35 0
0 36 0
0 37 0
0 38 0
0 39 0
0 40 0
0 41 0
0 42 0
0 43 0
0 44 0
0 45 0
0 46 0
0 47 0
0 48 0
27 28 1
43 1 1
28 29 1
24 25 1
9 35 1
9 10 1
22 23 1
32 33 1
3 2 2
35 36 1
25 26 1
11 12 1
36 37 1
23 24 1
29 30 1
5 2 1
21 22 1
44 1 1
14 15 1
18 19 1
34 9 1
8 9 1
15 16 1
20 2 1
12 13 1
19 2 1
38 39 1
33 34 1
6 2 2
1 41 1
1 2 7
10 11 1
30 31 1
7 2 2
46 1 1
17 18 1
37 38 1
13 14 1
39 40 1
45 1 1
16 17 1
4 2 2
47 1 1
42 1 1
41 42 1
40 1 1
31 32 1
26 27 1
2 48 1
2 43 1
2 6 2
2 3 2
2 7 2
2 46 1
2 5 1
2 21 1
2 44 1
2 45 1
2 4 2
2 47 1
2 8 1
2 20 1
;
